ésta	pd000000
detrás	rg
del	sp000
sofá	nc0s000
um	pp000000
hasta	sp000
que	cs
subió	vmis000
el	da0000
árbol	nc0s000
um	nc0n000
de	sp000
Pancho	np00000
y	cc
.	fp

preguntó	vmis000
a	sp000
un	di0000
animal	nc0s000
verde	aq0000
una	di0000
rana	nc0s000
.	fp

una	di0000
rana	nc0s000
.	fp

dónde	pt000000
estaba	vmii000
Pancho	np00000
.	fp

um	nc0n000
Natalia	np00000
estaba	vmii000
muy	rg
preocupada	aq0000
por	sp000
Pancho	np00000
um	np00000
y	cc
.	fp

dejó	vmis000
alguna	di0000
comida	nc0s000
para	sp000
Pancho	np00000
para	sp000
para	sp000
que	cs
volver	vmn0000
Pancho	np00000
volver	vmn0000
a	sp000
su	dp0000
casa	nc0s000
y	cc
.	fp

le	pp000000
esperó	vmis000
le	pp000000
esperó	vmis000
.	fp

a	sp000
las	da0000
tres	dn0000
y	cc
media	dn0000
Pancho	np00000
estaba	vmii000
en	sp000
el	da0000
muro	nc0s000
detrás	rg
de	sp000
la	da0000
casa	nc0s000
esperando	vmg0000
a	sp000
Nati	np00000
Natalia	np00000
.	fp

estaba	vmii000
también	rg
estaba	vmii000
muy	rg
preocupado	aq0000
por	sp000
Natalia	np00000
y	cc
.	fp

pensó	vmis000
que	cs
Natalia	np00000
se	p0000000
fue	vmis000
con	sp000
sus	dp0000
maletas	nc0p000
a	sp000
un	di0000
lugar	nc0s000
desconocido	aq0000
.	fp

um	nc0n000
Pancho	np00000
volvió	vmis000
a	sp000
la	da0000
casa	nc0s000
um	np00000
empapado	nc0s000
a	sp000
causa	nc0s000
del	sp000
de	sp000
la	da0000
lluvia	nc0s000
um	np00000
fuera	rg
y	cc
.	fp

encontró	vmis000
la	pp000000
el	da0000
rastro	nc0s000
de	sp000
el	da0000
rastro	nc0s000
de	sp000
comida	nc0s000
um	pp000000
cerca	rg
de	sp000
su	dp0000
cama	nc0s000
y	cc
.	fp

Natalia	np00000
que	pr000000
estaba	vmii000
durmiendo	vmg0000
en	sp000
su	dp0000
cama	nc0s000
um	np00000
.	fp

le	pp000000
alegre	aq0000
mucho	rg
.	fp

el	da0000
fin	nc0s000
.	fp

